index,precision,recall,f1-score,support,model_name,data_set,parameters
0,0.9259259259259259,0.9717314487632509,0.9482758620689655,283.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
1,0.6521739130434783,0.40540540540540543,0.5,37.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
accuracy,0.90625,0.90625,0.90625,0.90625,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
macro avg,0.789049919484702,0.6885684270843282,0.7241379310344828,320.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
weighted avg,0.894273349436393,0.90625,0.8964439655172415,320.0,Logistic Regression,0,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
0,0.9423728813559322,0.9823321554770318,0.9619377162629758,283.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
1,0.8,0.5405405405405406,0.6451612903225806,37.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.93125,0.93125,0.93125,0.93125,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8711864406779661,0.7614363480087862,0.8035495032927782,320.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9259110169491527,0.93125,0.9253104420136176,320.0,Random Forest,0,"{'class_weight': {0: 1, 1: 10}, 'criterion': 'gini', 'max_depth': None, 'n_estimators': 100, 'random_state': 17}"
0,0.9249146757679181,0.9575971731448764,0.9409722222222223,283.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
1,0.5555555555555556,0.40540540540540543,0.46875,37.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
accuracy,0.89375,0.89375,0.89375,0.89375,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
macro avg,0.7402351156617368,0.6815012892751409,0.7048611111111112,320.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
weighted avg,0.8822075274933636,0.89375,0.8863715277777778,320.0,Decision Tree,0,"{'class_weight': None, 'max_depth': 5, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,GBM,0,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
0,0.9417808219178082,0.9717314487632509,0.9565217391304347,283.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
1,0.7142857142857143,0.5405405405405406,0.6153846153846154,37.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
accuracy,0.921875,0.921875,0.921875,0.921875,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
macro avg,0.8280332681017613,0.7561359946518957,0.785953177257525,320.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
weighted avg,0.9154767000978474,0.921875,0.9170777591973243,320.0,Light GBM,0,"{'class_weight': None, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 17}"
0,0.9322033898305084,0.9717314487632509,0.9515570934256055,283.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
1,0.68,0.4594594594594595,0.5483870967741935,37.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
accuracy,0.9125,0.9125,0.9125,0.9125,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
macro avg,0.8061016949152542,0.7155954541113552,0.7499720950998995,320.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
weighted avg,0.9030423728813559,0.9125,0.9049405625627861,320.0,Logistic Regression,1,"{'C': 1, 'class_weight': None, 'penalty': 'l2', 'random_state': 17}"
